ProductID,ProductName,Price,CategoryID,Class,ModifyDate,Resistant,IsAllergic,VitalityDays
1,Flour - Whole Wheat,74.2988,3,Medium,2018-02-16 08:21:49.190,Durable,Unknown,0
2,Cookie Chocolate Chip With,91.2329,3,Medium,2017-02-12 11:39:10.970,Unknown,Unknown,0
3,Onions - Cippolini,9.1379,9,Medium,2018-03-15 08:11:51.560,Weak,False,111.0
4,"Sauce - Gravy, Au Jus, Mix",54.3055,9,Medium,2017-07-16 00:46:28.880,Durable,Unknown,0
5,Artichokes - Jerusalem,65.4771,2,Low,2017-08-16 14:13:35.430,Durable,True,27.0
6,Wine - Magnotta - Cab Sauv,79.7184,8,High,2017-05-25 15:08:39.690,Unknown,Unknown,0
7,Table Cloth - 53x69 Colour,31.837,9,Medium,2017-02-24 15:14:30.050,Durable,False,0
8,Halibut - Steaks,89.8573,5,Medium,2018-03-24 05:21:21.890,Unknown,True,108.0
9,Rabbit - Whole,84.4219,11,Medium,2017-06-17 12:12:04.670,Durable,Unknown,0
10,Scampi Tail,95.0957,4,Low,2017-07-30 10:11:45.990,Weak,True,105.0
11,Garbage Bags - Clear,6.2949,9,Low,2017-01-05 21:02:21.330,Durable,True,67.0
12,Ezy Change Mophandle,49.3356,4,Medium,2017-11-01 09:49:59.030,Durable,True,0
13,"Water, Tap",28.2232,11,Low,2017-01-16 19:49:10.930,Durable,False,69.0
14,Beef - Top Sirloin,3.3324,7,Medium,2017-02-26 11:40:47.850,Durable,True,0
15,"Spoon - Soup, Plastic",32.442,1,Low,2017-03-03 09:47:09.310,Weak,True,0
16,Kellogs Special K Cereal,54.7246,2,Low,2017-01-23 09:25:47.110,Durable,True,0
17,"Wine - White, Mosel Gold",43.9182,10,Medium,2017-03-01 14:03:04.920,Unknown,Unknown,0
18,"Lamb - Whole, Fresh",23.3966,10,Medium,2017-12-19 16:45:04.730,Unknown,False,0
19,Tea - Earl Grey,22.5614,3,Medium,2017-06-14 22:39:53.340,Weak,True,94.0
20,Chocolate - Feathers,85.9011,3,Low,2017-07-21 11:13:57.550,Durable,True,0
21,Kiwi,46.7252,7,High,2018-05-09 08:59:46.150,Durable,Unknown,0
22,Rice - Jasmine Sented,27.8955,6,Medium,2017-05-09 14:08:23.630,Weak,Unknown,48.0
23,Crab - Imitation Flakes,79.0184,11,Medium,2017-08-19 07:18:29.890,Durable,True,0
24,"Beer - Alexander Kieths, Pale Ale",89.037,3,Medium,2017-05-23 03:36:02.420,Durable,True,65.0
25,Soupcontfoam16oz 116con,80.7666,10,High,2017-04-09 15:30:41.250,Durable,True,0
26,Squid U5 - Thailand,33.7821,11,Medium,2018-03-26 19:31:26.970,Weak,False,10.0
27,Chocolate - Compound Coating,17.1724,1,Medium,2017-10-29 17:27:27.280,Unknown,Unknown,86.0
28,Sobe - Tropical Energy,12.3153,9,High,2017-10-25 04:23:48.230,Durable,True,0
29,Spinach - Baby,33.5883,7,Low,2017-08-06 17:21:24.000,Durable,True,50.0
30,"Cheese - Brie, Triple Creme",67.899,6,Low,2018-03-21 19:28:46.740,Weak,Unknown,72.0
31,Yeast Dry - Fermipan,73.9851,2,Medium,2017-04-17 23:33:06.110,Durable,False,0
32,Lettuce - Treviso,96.4127,3,High,2017-01-09 18:29:05.790,Durable,True,0
33,Beans - Wax,45.5551,10,Medium,2017-02-01 15:20:22.860,Weak,True,0
34,Mustard Prepared,43.3463,6,Medium,2017-09-21 16:05:20.820,Weak,Unknown,7.0
35,"Water - Mineral, Natural",15.7233,6,Low,2017-10-01 15:36:07.080,Durable,True,97.0
36,Table Cloth 54x72 White,69.2574,9,Low,2018-03-04 18:24:57.500,Durable,True,0
37,"Nut - Pistachio, Shelled",80.3171,7,Low,2017-02-27 14:01:39.130,Unknown,False,0
38,Sage - Ground,81.6579,6,High,2017-09-26 00:45:35.600,Weak,False,0
39,Dried Figs,75.2059,11,Medium,2017-08-04 21:51:44.260,Weak,False,120.0
40,Cocktail Napkin Blue,8.9372,8,Low,2017-06-28 03:05:34.400,Unknown,Unknown,0
41,"Cup - 6oz, Foam",81.721,7,Medium,2018-03-15 16:02:55.860,Unknown,True,0
42,Bread - Raisin Walnut Oval,81.0488,1,High,2018-04-01 08:39:17.290,Weak,False,0
43,Sponge Cake Mix - Chocolate,16.3983,9,High,2017-08-12 13:40:16.800,Weak,True,96.0
44,"Wine - White, Colubia Cresh",48.5981,7,High,2018-04-09 16:28:48.450,Durable,True,0
45,Beef - Ground Medium,79.5324,4,Medium,2018-03-23 17:00:00.370,Weak,True,0
46,Lambcasing,86.7915,9,High,2017-07-12 21:27:57.760,Durable,False,0
47,"Thyme - Lemon, Fresh",47.1339,9,High,2018-02-16 02:50:46.780,Weak,False,0
48,Pecan Raisin - Tarts,60.3625,7,Low,2017-11-26 03:31:03.240,Unknown,Unknown,114.0
49,Bacardi Breezer - Tropical,61.4317,8,High,2017-01-03 12:21:41.850,Durable,False,0
50,Pork - Kidney,43.2864,7,High,2018-04-21 00:02:16.210,Weak,True,0
51,Wine - Crozes Hermitage E.,81.0134,11,Medium,2017-05-16 18:38:05.230,Unknown,Unknown,0
52,"Turnip - White, Organic",55.6059,1,Low,2017-06-27 06:39:03.810,Durable,False,0
53,Cassis,92.6279,8,Medium,2018-02-16 15:42:44.950,Weak,True,0
54,"Liners - Banana, Paper",53.5592,9,Medium,2017-06-23 03:31:04.500,Weak,True,0
